Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Tonga,Life expectancy,Total,2000,69.667,Units,Years,,,,,,,,UNPD2019,,,,,,
Tonga,Life expectancy,Total,2018,70.801,Units,Years,,,,,,,,UNPD2019,,,,,,
Trinidad and Tobago,Life expectancy,Total,1970,64.7,Units,Years,,,,,,,,UNPD2019,,,,,,
Trinidad and Tobago,Life expectancy,Total,2000,69.413,Units,Years,,,,,,,,UNPD2019,,,,,,
Trinidad and Tobago,Life expectancy,Total,2018,73.38,Units,Years,,,,,,,,UNPD2019,,,,,,
Tunisia,Life expectancy,Total,1970,51.145,Units,Years,,,,,,,,UNPD2019,,,,,,
Tunisia,Life expectancy,Total,2000,73.172,Units,Years,,,,,,,,UNPD2019,,,,,,
Tunisia,Life expectancy,Total,2018,76.505,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkey,Life expectancy,Total,1970,52.286,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkey,Life expectancy,Total,2000,70.005,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkey,Life expectancy,Total,2018,77.437,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkmenistan,Life expectancy,Total,1970,58.472,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkmenistan,Life expectancy,Total,2000,63.613,Units,Years,,,,,,,,UNPD2019,,,,,,
Turkmenistan,Life expectancy,Total,2018,68.073,Units,Years,,,,,,,,UNPD2019,,,,,,
Turks and Caicos Islands,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Turks and Caicos Islands,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Turks and Caicos Islands,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tuvalu,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tuvalu,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Tuvalu,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Uganda,Life expectancy,Total,1970,49.251,Units,Years,,,,,,,,UNPD2019,,,,,,
Uganda,Life expectancy,Total,2000,46.229,Units,Years,,,,,,,,UNPD2019,,,,,,
Uganda,Life expectancy,Total,2018,62.973,Units,Years,,,,,,,,UNPD2019,,,,,,
Ukraine,Life expectancy,Total,1970,70.777,Units,Years,,,,,,,,UNPD2019,,,,,,
Ukraine,Life expectancy,Total,2000,67.258,Units,Years,,,,,,,,UNPD2019,,,,,,
Ukraine,Life expectancy,Total,2018,71.953,Units,Years,,,,,,,,UNPD2019,,,,,,
United Arab Emirates,Life expectancy,Total,1970,61.215,Units,Years,,,,,,,,UNPD2019,,,,,,
United Arab Emirates,Life expectancy,Total,2000,74.327,Units,Years,,,,,,,,UNPD2019,,,,,,
United Arab Emirates,Life expectancy,Total,2018,77.814,Units,Years,,,,,,,,UNPD2019,,,,,,
United Kingdom,Life expectancy,Total,1970,71.948,Units,Years,,,,,,,,UNPD2019,,,,,,
United Kingdom,Life expectancy,Total,2000,77.761,Units,Years,,,,,,,,UNPD2019,,,,,,
United Kingdom,Life expectancy,Total,2018,81.236,Units,Years,,,,,,,,UNPD2019,,,,,,
United Republic of Tanzania,Life expectancy,Total,1970,46.784,Units,Years,,,,,,,,UNPD2019,,,,,,
United Republic of Tanzania,Life expectancy,Total,2000,50.801,Units,Years,,,,,,,,UNPD2019,,,,,,
United Republic of Tanzania,Life expectancy,Total,2018,65.015,Units,Years,,,,,,,,UNPD2019,,,,,,
United States,Life expectancy,Total,1970,70.777,Units,Years,,,,,,,,UNPD2019,,,,,,
United States,Life expectancy,Total,2000,76.812,Units,Years,,,,,,,,UNPD2019,,,,,,
United States,Life expectancy,Total,2018,78.851,Units,Years,,,,,,,,UNPD2019,,,,,,
Uruguay,Life expectancy,Total,1970,68.616,Units,Years,,,,,,,,UNPD2019,,,,,,
Uruguay,Life expectancy,Total,2000,74.731,Units,Years,,,,,,,,UNPD2019,,,,,,
Uruguay,Life expectancy,Total,2018,77.77,Units,Years,,,,,,,,UNPD2019,,,,,,
Uzbekistan,Life expectancy,Total,1970,62.392,Units,Years,,,,,,,,UNPD2019,,,,,,
Uzbekistan,Life expectancy,Total,2000,67.156,Units,Years,,,,,,,,UNPD2019,,,,,,
Uzbekistan,Life expectancy,Total,2018,71.573,Units,Years,,,,,,,,UNPD2019,,,,,,
Vanuatu,Life expectancy,Total,1970,54.451,Units,Years,,,,,,,,UNPD2019,,,,,,
Vanuatu,Life expectancy,Total,2000,67.363,Units,Years,,,,,,,,UNPD2019,,,,,,
Vanuatu,Life expectancy,Total,2018,70.323,Units,Years,,,,,,,,UNPD2019,,,,,,
Venezuela (Bolivarian Republic of),Life expectancy,Total,1970,64.935,Units,Years,,,,,,,,UNPD2019,,,,,,
Venezuela (Bolivarian Republic of),Life expectancy,Total,2000,72.112,Units,Years,,,,,,,,UNPD2019,,,,,,
Venezuela (Bolivarian Republic of),Life expectancy,Total,2018,72.128,Units,Years,,,,,,,,UNPD2019,,,,,,
Viet Nam,Life expectancy,Total,1970,59.563,Units,Years,,,,,,,,UNPD2019,,,,,,
Viet Nam,Life expectancy,Total,2000,73.025,Units,Years,,,,,,,,UNPD2019,,,,,,
Viet Nam,Life expectancy,Total,2018,75.317,Units,Years,,,,,,,,UNPD2019,,,,,,
Yemen,Life expectancy,Total,1970,36.82,Units,Years,,,,,,,,UNPD2019,,,,,,
Yemen,Life expectancy,Total,2000,60.683,Units,Years,,,,,,,,UNPD2019,,,,,,
Yemen,Life expectancy,Total,2018,66.096,Units,Years,,,,,,,,UNPD2019,,,,,,
Zambia,Life expectancy,Total,1970,50.114,Units,Years,,,,,,,,UNPD2019,,,,,,
Zambia,Life expectancy,Total,2000,44,Units,Years,,,,,,,,UNPD2019,,,,,,
Zambia,Life expectancy,Total,2018,63.51,Units,Years,,,,,,,,UNPD2019,,,,,,
Zimbabwe,Life expectancy,Total,1970,56.913,Units,Years,,,,,,,,UNPD2019,,,,,,
Zimbabwe,Life expectancy,Total,2000,44.649,Units,Years,,,,,,,,UNPD2019,,,,,,
Zimbabwe,Life expectancy,Total,2018,61.195,Units,Years,,,,,,,,UNPD2019,,,,,,
