Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Cameroon,Life expectancy,Total,2018,58.921,Units,Years,,,,,,,,UNPD2019,,,,,,
Canada,Life expectancy,Total,1970,72.543,Units,Years,,,,,,,,UNPD2019,,,,,,
Canada,Life expectancy,Total,2000,79.118,Units,Years,,,,,,,,UNPD2019,,,,,,
Canada,Life expectancy,Total,2018,82.315,Units,Years,,,,,,,,UNPD2019,,,,,,
Central African Republic,Life expectancy,Total,1970,42.223,Units,Years,,,,,,,,UNPD2019,,,,,,
Central African Republic,Life expectancy,Total,2000,44.19,Units,Years,,,,,,,,UNPD2019,,,,,,
Central African Republic,Life expectancy,Total,2018,52.805,Units,Years,,,,,,,,UNPD2019,,,,,,
Chad,Life expectancy,Total,1970,41.344,Units,Years,,,,,,,,UNPD2019,,,,,,
Chad,Life expectancy,Total,2000,47.713,Units,Years,,,,,,,,UNPD2019,,,,,,
Chad,Life expectancy,Total,2018,53.977,Units,Years,,,,,,,,UNPD2019,,,,,,
Chile,Life expectancy,Total,1970,62.254,Units,Years,,,,,,,,UNPD2019,,,,,,
Chile,Life expectancy,Total,2000,76.366,Units,Years,,,,,,,,UNPD2019,,,,,,
Chile,Life expectancy,Total,2018,80.042,Units,Years,,,,,,,,UNPD2019,,,,,,
China,Life expectancy,Total,1970,59.085,Units,Years,,,,,,,,UNPD2019,,,,,,
China,Life expectancy,Total,2000,71.397,Units,Years,,,,,,,,UNPD2019,,,,,,
China,Life expectancy,Total,2018,76.704,Units,Years,,,,,,,,UNPD2019,,,,,,
Colombia,Life expectancy,Total,1970,62.152,Units,Years,,,,,,,,UNPD2019,,,,,,
Colombia,Life expectancy,Total,2000,72.945,Units,Years,,,,,,,,UNPD2019,,,,,,
Colombia,Life expectancy,Total,2018,77.109,Units,Years,,,,,,,,UNPD2019,,,,,,
Comoros,Life expectancy,Total,1970,45.642,Units,Years,,,,,,,,UNPD2019,,,,,,
Comoros,Life expectancy,Total,2000,59.46,Units,Years,,,,,,,,UNPD2019,,,,,,
Comoros,Life expectancy,Total,2018,64.118,Units,Years,,,,,,,,UNPD2019,,,,,,
Congo,Life expectancy,Total,1970,50.725,Units,Years,,,,,,,,UNPD2019,,,,,,
Congo,Life expectancy,Total,2000,52.123,Units,Years,,,,,,,,UNPD2019,,,,,,
Congo,Life expectancy,Total,2018,64.29,Units,Years,,,,,,,,UNPD2019,,,,,,
Cook Islands,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Cook Islands,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
