Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Mali,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,15.9,,%,Reported,Free,,,,"Kidal only covered in urban areas, rural excluded.",,DHS 2018,,,End of fieldwork,,2018,20 to 24 years old
Marshall Islands,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2007,5.5,,%,Reported,Free,,,,,,DHS 2007,,,End of fieldwork,,2007,20 to 24 years old
Mauritania,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,17.8,,%,Reported,Free,,,,,,MICS 2015,,,End of fieldwork,,2015,20 to 24 years old
Mexico,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,3.8,,%,Reported,Free,,,,,,MICS 2015,,,End of fieldwork,,2015,20 to 24 years old
Mongolia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,0.9,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Montenegro,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,1.9,,%,Reported,Free,,,,,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
Morocco,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,0.5,,%,Reported,Free,,,,,,ENPSF 2018,,,End of fieldwork,,2018,20 to 24 years old
Mozambique,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,16.8,,%,Reported,Free,,,,,,AIS 2015,,,End of fieldwork,,2015,20 to 24 years old
Myanmar,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,1.9,,%,Reported,Free,,,,,,DHS 2015-16,,,End of fieldwork,,2015-16,20 to 24 years old
Namibia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,1.6,,%,Reported,Free,,,,,,DHS 2013,,,End of fieldwork,,2013,20 to 24 years old
Nauru,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2007,1.9,,%,Reported,Free,,,,,,DHS 2007,,,End of fieldwork,,2007,20 to 24 years old
Nepal,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,7,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
Nicaragua,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,9.7,,%,Reported,Free,,,,,,ENDESA 2011-12,,,End of fieldwork,,2011-12,20 to 24 years old
Niger,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,28,,%,Reported,Free,,,,,,DHS 2012,,,End of fieldwork,,2012,20 to 24 years old
Nigeria,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,15.7,,%,Reported,Free,,,,,,DHS 2018,,,End of fieldwork,,2018,20 to 24 years old
North Macedonia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2011,0.9,,%,Reported,Free,,,,,,MICS 2011,,,End of fieldwork,,2011,20 to 24 years old
Oman,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,1.2,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Pakistan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,3.6,,%,Reported,Free,,,,Only ever-married women; applied all-women factor; Azad Jammu and Kashmir (AJK) and Gilgit Baltistan were included in the survey but are excluded from national totals,,DHS 2017-18,,,End of fieldwork,,2017-18,20 to 24 years old
Panama,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2013,6.8,,%,Reported,Free,,,,,,MICS 2013,,,End of fieldwork,,2013,20 to 24 years old
Papua New Guinea,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,8,,%,Reported,Free,,,,,,DHS 2016-18,,,End of fieldwork,,2016-18,20 to 24 years old
Paraguay,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,3.6,,%,Reported,Free,,,,,,MICS 2016,,,End of fieldwork,,2016,20 to 24 years old
Peru,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,2.5,,%,Reported,Free,,,,,,ENDES 2018,,,End of fieldwork,,2018,20 to 24 years old
Philippines,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,2.2,,%,Reported,Free,,,,,,DHS 2017,,,End of fieldwork,,2017,20 to 24 years old
Qatar,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0,,%,Reported,Free,,,,Did not ask about cohabitation,,MICS 2012,,,End of fieldwork,,2012,20 to 24 years old
Republic of Moldova,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,0.4,,%,Reported,Free,,,,,,MICS 2012,,,End of fieldwork,,2012,20 to 24 years old
Rwanda,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,0.4,,%,Reported,Free,,,,,,DHS 2014-15,,,End of fieldwork,,2014-15,20 to 24 years old
Saint Lucia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2012,3.7,,%,Reported,Free,,,,Women currently in visiting relationships not excluded,,MICS 2012,,,End of fieldwork,,2012,20 to 24 years old
Samoa,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,0.7,,%,Reported,Free,,,,,,DHS 2014,,,End of fieldwork,,2014,20 to 24 years old
Sao Tome and Principe,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,7.9,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
